155645,7437,153021
115310,503,83573
65027,34288,103065
34993,19666,118931
47003,64369,9247
1371,136278,130020
154094,108606,72758
145007,87823,70028
137706,83985,149668
25855,58928,137423
48872,72641,32403
81538,26157,45145
103127,64981,43701
25117,31226,63067
1360,130119,156302
106609,7591,19835
152971,109017,95840
114619,161488,142613
5633,67001,28036
19473,72470,20355
33882,42466,61482
149916,138934,143048
40360,69200,104770
120006,60069,90944
48574,115889,44296
100585,49820,13645
118337,53762,119423
79205,64094,17667
80298,42910,123745
50531,51140,87261
133895,45982,44162
32386,157560,52581
150885,100595,78662
115991,22447,30719
129984,34189,80293
155483,160534,113825
31566,116232,8574
51495,132505,95981
84363,83877,81594
105903,23628,98517
25406,21591,100463
47372,154263,157188
13884,3593,27291
85418,90258,43898
121575,157075,46712
139428,46369,160073
39174,82685,60936
44808,62577,139253
86991,141630,144188
94938,86709,130409
125398,126540,13701
103644,90363,97114
42348,96602,33978
53970,61241,116278
21304,77653,16126
28220,18659,913
117339,41321,161143
13060,134645,102590
147867,1304,145008
146555,90854,43416
18563,60261,50533
147600,93788,81455
115802,15964,60952
159745,32922,116997
123944,106123,54323
42173,132147,55580
104582,34000,100570
50698,102473,98676
57373,138204,3655
133881,150391,115257
121521,45981,147754
35197,24368,6114
32949,79583,42834
20866,50526,100377
70005,56907,7132
60759,23636,104438
150325,90424,27377
34784,146677,46018
123606,2680,135840
70310,80220,130178
126169,87545,60572
57283,90987,145273
74167,128245,63192
24039,52512,150001
73746,54626,105561
152471,136508,40591
18725,144365,106648
155209,33991,138650
127350,129531,98321
79965,116809,197
10913,118632,132566
74811,139432,42389
113870,18739,23164
43488,38873,69913
68115,100627,94065
127131,84916,58684
100733,46097,49739
97707,25669,24252
130256,4355,110096
149110,107693,47961
85141,93703,6891
110367,154214,58669
110145,44720,70840
61148,77952,147542
102794,54767,1958
6223,6428,32493
59708,69798,24862
93942,82814,28264
88031,161419,24223
73476,23014,45753
7993,109679,91301
77998,27107,34031
31860,132235,130908
9920,87677,83779
93616,33582,10735
73263,147780,79135
141860,54404,73460
102928,53056,72919
151158,87009,96683
117856,57846,139567
149310,158941,150732
82108,51723,50986
94517,28204,141867
76343,106152,94942
83817,46807,62038
22222,68988,104668
152893,118310,94043
54990,79065,155154
140910,63213,127281
97018,125052,30975
103657,38123,44857
38802,112767,205
38481,57306,77689
159080,9979,104714
85870,77617,162491
75127,12670,16319
138965,34858,13897
3099,95683,122769
116130,37447,67505
112474,54475,115748
118794,3874,35510
104629,53983,83765
39756,142322,44567
119340,157442,125657
83293,21431,27528
71394,54673,35096
18673,157720,49096
46638,110525,122896
4933,81996,119430
37695,161655,20926
25953,42401,58180
10221,91740,5002
61051,71316,79806
22119,146271,74442
137090,34241,118762
102581,65930,38063
106251,114916,130790
55675,57315,20164
123724,78451,56170
3977,55191,142442
73428,47960,120666
89531,96602,151006
14288,45440,155799
135867,103436,53699
135416,22662,147085
116360,87095,91699
81475,87743,113045
79389,46311,19465
158535,148607,116065
90854,136499,42707
43054,64817,95914
5753,129141,110318
105680,63975,24737
64421,98790,158154
3564,114398,115722
111270,70598,157120
34266,127391,13411
78264,25681,16722
128421,120717,63811
113207,137310,12948
54378,67730,111013
37263,103436,131011
147688,5244,108445
3399,17028,143809
119564,41133,58231
110405,53576,60825
98294,131891,66656
45147,50219,132733
48535,87809,158110
138203,145197,125497
4604,141838,138307
96277,91399,153677
116250,9881,76707
57526,39651,27666
30302,69631,62318
36553,85142,15367
3012,35326,44818
90647,92974,39207
79538,154917,17164
157448,6107,26378
124300,70783,51734
14497,156435,26483
24628,52595,91546
161731,39801,50217
66413,42862,92232
40829,114055,104377
104109,130690,154711
66382,45777,8300
30634,65842,72648
23242,109997,51027
32039,78214,141280
38953,22559,81460
91542,71063,99739
26531,10359,90383
56873,29232,139247
140794,88359,68873
73273,97353,55978
162209,138541,9371
59652,120543,118066
116055,125425,125689
9009,12634,162348
128598,96964,12965
60844,110802,28767
149500,72261,40645
146189,18187,54274
11617,107896,120478
109904,29178,18398
88942,129660,109589
39598,35212,3886
122630,87016,12607
86085,12088,108151
78806,28177,93736
66977,108203,67218
39037,143344,111969
2524,29952,96408
92510,43325,18067
110792,151818,133892
126239,148882,22702
71169,153180,91955
87559,145228,113968
56722,101537,119460
13265,62505,43609
33817,78439,44546
36508,72583,68461
77710,37900,28839
117354,88791,113632
161938,23598,88819
70600,41064,104903
1580,6028,31
160701,132640,26874
102501,46226,159545
26169,85143,46167
7636,46895,127722
18344,8763,63181
6180,59432,116104
20387,104,37885
63950,131483,117640
33533,96582,117011
15836,5952,53071
5891,78766,92058
16934,16176,147040
53185,123804,21680
88452,40997,142460
116341,526,150179
