128247,28780,133154,24599,127742,91662
97621,19573,48877,24508,155368,80559
60466,22780,73062,83877,108569,129903
118060,114192,101838,105185,57130,98030
67232,49948,107822,125065,161192,60345
13970,161208,94060,78251,7173,41692
28955,48573,33848,73553,147471,7936
231,103395,86566,157116,86229,37506
89343,59672,91387,64822,153089,2193
52984,130120,157552,20543,96896,29214
28942,28814,30154,110970,127017,3026
69762,39716,79830,19398,135575,33739
139156,66481,113365,40041,91239,96592
45707,101789,59023,32071,140602,143865
77239,115030,104371,125745,38598,21626
62158,55444,38403,151613,133731,122677
48561,126482,82967,106369,50545,4136
57352,75640,71003,27948,7403,112714
101880,90276,66439,100338,88379,23377
55917,139317,98959,73349,126235,38549
97594,104291,2160,9715,90657,82503
133661,111461,88753,87306,137232,120189
138249,159994,75728,125351,94173,128389
21435,96209,83931,92271,64184,117452
78737,161335,82610,1405,70355,116845
120829,78505,36091,88584,8771,22848
81883,25361,109145,67525,108425,110504
17062,97760,113899,55018,116651,1531
149353,134509,51948,135907,17918,151322
18929,64072,65500,107052,12930,87453
159093,59541,81445,32461,11237,62070
155064,54162,80851,138259,46505,9161
141509,70899,94773,96955,106049,120248
64161,60798,33967,46809,124856,58285
152477,61687,134955,141283,110150,68880
74101,116534,98770,83443,79541,143264
98288,124552,20380,90463,19212,98985
30585,105064,98147,9963,133741,106055
140704,81166,147542,68355,104343,63720
127662,57826,64041,59442,121437,33250
37735,94098,80759,105615,46700,62422
18245,145166,10989,156832,66134,84350
150844,130246,148253,110099,123647,32546
96527,97378,100220,147580,89139,95926
46242,105752,78673,157480,19574,64466
33476,70918,118418,126999,106550,40516
105868,91200,104550,51591,160240,149297
148243,79357,8922,74837,59233,13566
78222,150790,148383,7953,145586,6883
78868,14319,94115,65174,8021,22963
5043,27791,51009,67635,36712,9407
98674,20606,98819,85977,144200,112370
44359,38145,125785,35119,43614,106294
152292,6403,60633,79471,15632,4917
50687,284,125460,94939,34898,104232
24978,117825,106105,8640,108806,109421
21259,43106,32090,109644,72448,92046
117821,121759,51560,13946,102518,9702
88317,25860,121025,103480,28667,42019
138260,92521,112324,3264,78218,62113
19297,102620,56854,38636,85998,105059
134493,53141,103651,99046,55016,10721
28420,95330,150879,30760,29115,149928
66558,67219,51325,44765,13966,63570
126952,162296,83144,50919,27060,5102
64408,154815,27567,46231,133982,67423
102839,40627,13414,53004,88707,121608
58059,59550,158395,27242,157238,54931
38292,149738,40742,135900,38549,160757
68901,98456,154658,26900,151022,43562
402,9507,101039,154918,157293,132494
5082,10840,71689,6537,2514,603
97663,47222,22321,4479,75008,31328
43189,32985,102541,105250,153694,79023
38746,49977,93728,6237,81987,80540
68753,45301,111039,8993,133074,67269
141135,68983,90844,152475,72915,39844
74994,80005,131462,26620,34105,108848
125653,50546,112319,102389,128111,18259
37864,152301,71809,71419,97036,115281
117213,148492,76164,53687,132315,104885
92626,145695,130849,113430,26025,24792
72624,123671,5287,23100,158995,58884
131074,6319,149868,57598,18357,123751
