3158,5674,471
779,147,129
5905,5370,4585
1063,2973,3814
5437,2503,5076
2904,507,1307
1869,5267,5925
284,1504,5298
5825,3672,5705
5656,3497,2930
3577,4443,3212
425,2682,133
4143,377,5549
3630,529,1319
190,5293,2900
1425,3028,2379
695,4974,5622
5192,3609,83
321,1577,2299
675,1284,3109
5250,2105,5925
1113,752,2418
330,5370,550
3724,1419,18
4616,5616,289
2214,617,4012
2998,1395,1041
1433,5010,1778
608,673,1832
4656,5800,1885
5846,2922,779
3154,323,3230
2233,4320,3569
3857,2243,948
1500,444,1552
3567,5534,1982
191,3728,1117
3099,1483,587
830,1071,3409
3268,4328,4055
4311,3120,118
2342,2441,5523
2265,5662,5040
3913,3280,6021
982,1366,1759
3047,973,461
992,2115,3611
4254,4414,1997
2637,3649,2147
599,3891,5172
360,1016,1228
4286,5071,4112
5635,3299,3939
41,3414,337
5545,3574,2572
4275,144,3119
1672,1960,2004
517,5521,1375
3458,2974,276
517,3489,1450
23,1878,2623
4927,5345,1647
733,267,4565
442,4788,2536
2561,1258,1984
2808,5425,3866
213,1351,4034
4980,5462,1874
4509,4957,122
1260,2191,4513
2027,422,4304
877,5735,1944
4080,1545,3368
1215,1726,2591
1863,4301,2544
922,552,4488
1438,1397,5805
4875,3157,240
3312,1925,4422
3170,2048,3488
103,244,778
1058,776,1612
650,1085,1850
376,4477,230
2982,1623,3241
4738,3954,28
2846,3538,2937
1838,5800,4952
5923,2423,2808
872,3401,1079
5153,5375,1616
5362,5243,5932
703,48,2632
4876,477,5150
3043,5267,2272
438,3242,4504
5947,2230,5328
3253,4765,1572
495,2055,5095
2706,4340,2506
4777,3243,2961
2219,1662,4947
369,4698,1112
2259,1310,4926
2519,767,2007
4946,5488,1056
5359,367,2667
5722,773,756
2001,3036,2536
1159,5991,1250
3371,2180,4477
1875,5383,3791
3627,3727,1279
4584,5102,5735
2680,5348,2483
2172,1700,3238
1248,5221,3922
3878,4950,3925
5231,1592,2847
3875,5411,300
5606,5416,2879
3670,4291,362
1624,4382,2872
3157,4916,5607
1372,5156,1311
4522,3392,2185
2645,2226,3677
2927,3823,2689
4442,4904,2567
3019,2243,2506
2491,1277,4032
332,524,5569
3711,1229,747
2920,2012,2283
4095,924,5968
1966,2860,2485
4370,3394,1400
3552,4568,3161
3372,2747,2364
5683,734,4385
286,1103,3216
16,3760,2819
1501,746,1611
4840,1172,813
1692,1608,2175
3400,1823,402
5522,270,903
5923,2179,4286
731,891,1258
219,1545,3390
2469,5684,4385
1781,2000,3770
3482,5835,5199
2189,5452,3181
2430,3545,2734
5504,2434,4688
456,2061,3464
2028,139,1991
5054,4905,2174
4604,1014,953
683,5711,4637
783,5102,1043
3888,4456,660
4712,3727,2366
4940,1033,787
2736,3945,5069
5688,5554,1813
2916,5629,149
4175,5768,2942
2694,1109,5599
5755,653,283
1795,641,1180
1328,2776,3129
2125,5269,372
251,72,5177
3958,4554,1590
4798,4791,5673
5486,1024,1968
2431,3417,2552
5631,2029,5721
4907,3284,1339
5728,883,262
1900,5231,2423
5435,5123,447
