alg_name,group_name,avg_ratings,corr_ratings,mae_ratings,avg_ndcgs_ratings,corr_ndcgs_ratings,mae_ndcgs_ratings,group_size
avg_uniform,prs_3_se=1_noc=1000,61.0098154210885,0.013693709329435649,0.1727397682717717,0.7819909051436897,0.013693709329435649,0.15079631113081768,3
dhondt_do,prs_3_se=1_noc=1000,57.84217053044838,0.4645353565440313,0.1286254129848499,0.7610971633032502,0.4645353565440313,0.10957205552470264,3
ep_fuzz_dhondt,prs_3_se=1_noc=1000,54.7376368395061,0.7318974990761917,0.09567627744152657,0.7401792342001965,0.7318974990761917,0.09789320484916886,3
avg,prs_3_se=1_noc=1000,58.30131645433683,0.4601965095073326,0.13389767973569722,0.7541476864721788,0.4601965095073326,0.10638326556285671,3
avg_uniform,prs_3_se=4_noc=1000,61.29801257733842,-0.016951430345172012,0.17227959142031762,0.7828325455130407,-0.016951430345172012,0.15111984224887715,3
dhondt_do,prs_3_se=4_noc=1000,58.29356528855641,0.4545805975959319,0.1281711838274575,0.7629201765585726,0.4545805975959319,0.11038532395443916,3
ep_fuzz_dhondt,prs_3_se=4_noc=1000,55.30008189644216,0.7266374509486884,0.096431989614197,0.7411326843895706,0.7266374509486884,0.09751975715144681,3
avg,prs_3_se=4_noc=1000,58.46707523522903,0.4463829100748919,0.13173562058341937,0.7556776035733233,0.4463829100748919,0.1066029367506911,3
avg_uniform,prs_4_se=1_noc=1000,57.47604988276408,0.0020051890091983358,0.13169613784988154,0.7472398483814888,0.0020051890091983358,0.11447943587595705,4
dhondt_do,prs_4_se=1_noc=1000,54.7920117717718,0.4507417079472602,0.09992404115377788,0.73097824332882,0.4507417079472602,0.08690148055498213,4
ep_fuzz_dhondt,prs_4_se=1_noc=1000,52.44711277963256,0.6510167717190564,0.07889550186429208,0.7163941674182847,0.6510167717190564,0.08167857234128877,4
avg,prs_4_se=1_noc=1000,55.13390050589771,0.43143700519143774,0.10569975171577144,0.723222493373789,0.43143700519143774,0.08499438842492359,4
avg_uniform,prs_4_se=4_noc=1000,58.03638083153281,-0.01363416274536792,0.1298686444045319,0.7398337590268184,-0.01363416274536792,0.11538537384758413,4
dhondt_do,prs_4_se=4_noc=1000,54.89438090480439,0.47333452941758697,0.09915149629229861,0.7188671083679928,0.47333452941758697,0.0869369094704268,4
ep_fuzz_dhondt,prs_4_se=4_noc=1000,53.16144066560234,0.6519798536446969,0.0778319284762601,0.7084794148130724,0.6519798536446969,0.08021673469006081,4
avg,prs_4_se=4_noc=1000,55.39023439594718,0.45738958077317055,0.10203593920952073,0.7134439417592499,0.45738958077317055,0.08314856876235377,4
avg_uniform,prs_6_se=1_noc=1000,54.098625261269625,0.017537857101077768,0.0894995672975883,0.6998441864663609,0.017537857101077768,0.07905078674157676,6
dhondt_do,prs_6_se=1_noc=1000,51.5187106009775,0.4239406735360584,0.07023173683859837,0.6847166543382552,0.4239406735360584,0.06338857110616054,6
ep_fuzz_dhondt,prs_6_se=1_noc=1000,49.886191329429096,0.5759318316172436,0.057622215488631334,0.6764540767085252,0.5759318316172436,0.06104395657371978,6
avg,prs_6_se=1_noc=1000,51.9277820780412,0.4001977093392653,0.07385004009219757,0.6774724471988959,0.4001977093392653,0.06122320382331826,6
avg_uniform,prs_6_se=4_noc=1000,54.69363099982995,-0.021028526563671445,0.08954443417510638,0.697711099470017,-0.021028526563671445,0.07902618596929145,6
dhondt_do,prs_6_se=4_noc=1000,52.164400040819416,0.4333955958560971,0.07019024031344287,0.6825687966514181,0.4333955958560971,0.06315507277603755,6
ep_fuzz_dhondt,prs_6_se=4_noc=1000,50.525475363117266,0.57877936118329,0.05794954794078989,0.6730937841058706,0.57877936118329,0.060407092583827184,6
avg,prs_6_se=4_noc=1000,52.50037317401667,0.4106209111391695,0.07363164685423125,0.6756207920824941,0.4106209111391695,0.06111339918698025,6
avg_uniform,prs_8_se=1_noc=1000,51.761072740419465,0.006157289077162598,0.06722070487314871,0.6755104502007026,0.006157289077162598,0.06076215955783734,8
dhondt_do,prs_8_se=1_noc=1000,49.51561687501672,0.4227089024962523,0.05373348930784141,0.6619243670276701,0.4227089024962523,0.050417820919251996,8
ep_fuzz_dhondt,prs_8_se=1_noc=1000,48.33365309062668,0.5329270312781603,0.0457922741076689,0.6555028067908653,0.5329270312781603,0.04900402713710617,8
avg,prs_8_se=1_noc=1000,49.825409339260254,0.39841256425085725,0.0560094323338816,0.6549142801069171,0.39841256425085725,0.048536455248400875,8
avg_uniform,prs_8_se=4_noc=1000,52.12728267187766,0.021472805392381885,0.06566054253699062,0.6779963078538105,0.021472805392381885,0.06059505306520669,8
dhondt_do,prs_8_se=4_noc=1000,49.92351319601247,0.43293626944233143,0.05356349968425815,0.6628582075098334,0.43293626944233143,0.05072708957475223,8
ep_fuzz_dhondt,prs_8_se=4_noc=1000,48.823724374740216,0.5482862947390867,0.045482368184929345,0.6568344527165699,0.5482862947390867,0.04882033967770906,8
avg,prs_8_se=4_noc=1000,50.28387859579539,0.40890111302900944,0.05523922172899855,0.6579656736927268,0.40890111302900944,0.04909091970913696,8
