226665,463855,244379,327940,124683,207565,37401,103128
392252,139197,82339,462856,462951,30310,371610,54905
408101,58999,298736,86562,159275,468662,63635,351628
265074,114781,447374,389338,127424,32901,121728,157194
478391,32869,184254,48448,66702,467567,443470,137823
276160,105156,142747,231152,30363,115515,134065,472421
373147,219425,302934,192092,294122,405282,446864,241963
143312,263999,77729,253337,465794,255951,274553,226440
412972,192245,354967,202735,230732,387510,12130,3730
308193,400831,349479,46192,149925,402539,63411,69848
259216,111950,313261,262297,42135,127397,201817,110970
204519,86564,334281,85033,399357,22584,338701,276501
395393,271296,349813,178465,435329,316622,418730,74697
194292,225252,78157,132160,295789,16550,145747,347296
273822,395676,257090,476683,85790,209738,90323,28371
167353,60530,262551,194504,263067,56907,187922,12751
82581,245806,142638,95062,470773,240910,376206,424068
385767,258049,345657,111484,273705,403136,355451,137206
387933,473704,119220,420819,409427,477161,183569,74238
105407,338861,75276,371383,369820,402012,4398,406877
15793,100385,19702,73467,344589,393020,12045,216794
29077,102163,350000,222722,314823,303612,464104,35670
371612,447035,385838,355837,217397,328279,328230,89159
210765,143976,140813,280890,375086,266781,213539,103866
454607,453077,154396,227438,145428,230417,457316,464747
82529,439167,62540,292197,255586,249048,93477,293293
395226,192219,225338,359264,333848,80412,345187,67448
422402,245492,63540,208089,17292,223955,213574,71270
425831,95210,155842,377756,129470,340811,328431,57806
100403,281288,48616,18951,217801,139216,479570,272283
369033,448630,450607,1417,375118,89757,334118,64048
201391,480098,71316,158572,388491,398004,263789,177934
260588,360938,234384,88597,306394,371462,214293,210441
200483,245674,44506,87628,340331,276287,287733,229708
373552,289134,83929,152845,269748,141967,73623,194173
394240,38682,247703,469048,24923,402346,338475,289034
439428,426261,8430,47567,470165,68941,435776,327854
75740,361274,329770,319555,166295,33803,331067,259918
475257,205385,132307,409817,382606,157780,366460,57861
80465,410392,184040,346353,171046,470492,85363,160057
450005,367607,229494,241134,55240,428967,439428,85685
379054,132844,448777,161628,73516,7564,28076,347541
168161,319489,195366,168310,127220,361094,160492,237351
218969,467224,189932,203753,343952,117131,276196,82402
404993,287967,389340,264603,331934,264260,295242,345229
101016,266181,199124,141444,479870,381516,89043,54854
93203,240064,227605,414771,264724,264330,183993,82582
392148,282793,35660,113900,185935,461827,226560,212099
289328,78695,316870,234700,434204,429283,96329,300446
422025,117204,356542,170549,417675,422110,131365,201576
451268,113561,410593,426549,119589,5847,186508,451724
4521,475797,375996,30726,437849,52845,183120,256523
350282,182125,391738,216274,378265,367600,335854,20286
32303,232675,408196,431576,305857,459986,178676,309136
91884,294180,439016,360486,83015,8261,148043,372660
315467,16207,358788,358104,197398,447549,279837,39159
392314,369298,367818,191198,36120,98648,22239,146378
431320,196367,435210,386369,381987,75209,344364,19886
